Time,TZ_ATOLYE:MUGLA ANN HTG 99% CONDNS DB:Des Heat Load [W],TZ_ATOLYE:MUGLA ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],TZ_ATOLYE:MUGLA ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],TZ_ATOLYE:MUGLA ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TZ_ATOLYE::Des Latent Heat Load [W],TZ_ATOLYE::Des Latent Cool Load [W],TZ_ATOLYE::Des Latent Heat Mass Flow [kg/s],TZ_ATOLYE::Des Latent Cool Mass Flow [kg/s],TZ_ATOLYE::Des Heat Load No DOAS [W],TZ_ATOLYE::Des Sens Cool Load No DOAS [W],TZ_ATOLYE::Des Latent Heat Load No DOAS [W],TZ_ATOLYE::Des Latent Cool Load No DOAS [W],TZ_ATOLYE:MUGLA ANN HTG 99% CONDNS DB:Heating Zone Temperature [C],TZ_ATOLYE:MUGLA ANN HTG 99% CONDNS DB:Heating Zone Relative Humidity [%],TZ_ATOLYE:MUGLA ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],TZ_ATOLYE:MUGLA ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],TZ_KONFSALON:MUGLA ANN HTG 99% CONDNS DB:Des Heat Load [W],TZ_KONFSALON:MUGLA ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],TZ_KONFSALON:MUGLA ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],TZ_KONFSALON:MUGLA ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TZ_KONFSALON::Des Latent Heat Load [W],TZ_KONFSALON::Des Latent Cool Load [W],TZ_KONFSALON::Des Latent Heat Mass Flow [kg/s],TZ_KONFSALON::Des Latent Cool Mass Flow [kg/s],TZ_KONFSALON::Des Heat Load No DOAS [W],TZ_KONFSALON::Des Sens Cool Load No DOAS [W],TZ_KONFSALON::Des Latent Heat Load No DOAS [W],TZ_KONFSALON::Des Latent Cool Load No DOAS [W],TZ_KONFSALON:MUGLA ANN HTG 99% CONDNS DB:Heating Zone Temperature [C],TZ_KONFSALON:MUGLA ANN HTG 99% CONDNS DB:Heating Zone Relative Humidity [%],TZ_KONFSALON:MUGLA ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],TZ_KONFSALON:MUGLA ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],TZ_KORIDOR:MUGLA ANN HTG 99% CONDNS DB:Des Heat Load [W],TZ_KORIDOR:MUGLA ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],TZ_KORIDOR:MUGLA ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],TZ_KORIDOR:MUGLA ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TZ_KORIDOR::Des Latent Heat Load [W],TZ_KORIDOR::Des Latent Cool Load [W],TZ_KORIDOR::Des Latent Heat Mass Flow [kg/s],TZ_KORIDOR::Des Latent Cool Mass Flow [kg/s],TZ_KORIDOR::Des Heat Load No DOAS [W],TZ_KORIDOR::Des Sens Cool Load No DOAS [W],TZ_KORIDOR::Des Latent Heat Load No DOAS [W],TZ_KORIDOR::Des Latent Cool Load No DOAS [W],TZ_KORIDOR:MUGLA ANN HTG 99% CONDNS DB:Heating Zone Temperature [C],TZ_KORIDOR:MUGLA ANN HTG 99% CONDNS DB:Heating Zone Relative Humidity [%],TZ_KORIDOR:MUGLA ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],TZ_KORIDOR:MUGLA ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],TZ_MERDVN:MUGLA ANN HTG 99% CONDNS DB:Des Heat Load [W],TZ_MERDVN:MUGLA ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],TZ_MERDVN:MUGLA ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],TZ_MERDVN:MUGLA ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TZ_MERDVN::Des Latent Heat Load [W],TZ_MERDVN::Des Latent Cool Load [W],TZ_MERDVN::Des Latent Heat Mass Flow [kg/s],TZ_MERDVN::Des Latent Cool Mass Flow [kg/s],TZ_MERDVN::Des Heat Load No DOAS [W],TZ_MERDVN::Des Sens Cool Load No DOAS [W],TZ_MERDVN::Des Latent Heat Load No DOAS [W],TZ_MERDVN::Des Latent Cool Load No DOAS [W],TZ_MERDVN:MUGLA ANN HTG 99% CONDNS DB:Heating Zone Temperature [C],TZ_MERDVN:MUGLA ANN HTG 99% CONDNS DB:Heating Zone Relative Humidity [%],TZ_MERDVN:MUGLA ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],TZ_MERDVN:MUGLA ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],TZ_ODA:MUGLA ANN HTG 99% CONDNS DB:Des Heat Load [W],TZ_ODA:MUGLA ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],TZ_ODA:MUGLA ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],TZ_ODA:MUGLA ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TZ_ODA::Des Latent Heat Load [W],TZ_ODA::Des Latent Cool Load [W],TZ_ODA::Des Latent Heat Mass Flow [kg/s],TZ_ODA::Des Latent Cool Mass Flow [kg/s],TZ_ODA::Des Heat Load No DOAS [W],TZ_ODA::Des Sens Cool Load No DOAS [W],TZ_ODA::Des Latent Heat Load No DOAS [W],TZ_ODA::Des Latent Cool Load No DOAS [W],TZ_ODA:MUGLA ANN HTG 99% CONDNS DB:Heating Zone Temperature [C],TZ_ODA:MUGLA ANN HTG 99% CONDNS DB:Heating Zone Relative Humidity [%],TZ_ODA:MUGLA ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],TZ_ODA:MUGLA ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],TZ_WC:MUGLA ANN HTG 99% CONDNS DB:Des Heat Load [W],TZ_WC:MUGLA ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],TZ_WC:MUGLA ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],TZ_WC:MUGLA ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TZ_WC::Des Latent Heat Load [W],TZ_WC::Des Latent Cool Load [W],TZ_WC::Des Latent Heat Mass Flow [kg/s],TZ_WC::Des Latent Cool Mass Flow [kg/s],TZ_WC::Des Heat Load No DOAS [W],TZ_WC::Des Sens Cool Load No DOAS [W],TZ_WC::Des Latent Heat Load No DOAS [W],TZ_WC::Des Latent Cool Load No DOAS [W],TZ_WC:MUGLA ANN HTG 99% CONDNS DB:Heating Zone Temperature [C],TZ_WC:MUGLA ANN HTG 99% CONDNS DB:Heating Zone Relative Humidity [%],TZ_WC:MUGLA ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],TZ_WC:MUGLA ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,3.259187E+04,3.206356E+04,1.775658E+00,3.141512E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503404E+01,2.400000E+01,4.236354E+01,6.142196E+03,2.984889E+03,3.346176E-01,2.924525E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199900E+01,4.039008E+01,2.400000E+01,4.238449E+01,3.488490E+04,2.716549E+04,1.900455E+00,2.661610E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199876E+01,4.400412E+01,2.400000E+01,4.236235E+01,3.695841E+03,4.415189E+03,2.013510E-01,4.325897E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199962E+01,4.399819E+01,2.400000E+01,4.236288E+01,2.583713E+04,2.086157E+04,1.407594E+00,2.043968E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.407840E+01,2.400000E+01,4.236254E+01,3.113780E+03,2.382031E+03,1.696406E-01,2.333858E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465859E+01,2.400000E+01,4.236310E+01
00:20:00,3.259700E+04,3.159514E+04,1.775937E+00,3.095617E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503404E+01,2.400000E+01,4.236354E+01,6.138439E+03,2.969047E+03,3.344132E-01,2.909003E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199901E+01,4.044399E+01,2.400000E+01,4.238187E+01,3.487801E+04,2.677864E+04,1.900080E+00,2.623708E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199875E+01,4.400500E+01,2.400000E+01,4.236230E+01,3.694171E+03,4.361315E+03,2.012601E-01,4.273113E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199962E+01,4.400946E+01,2.400000E+01,4.236285E+01,2.584048E+04,2.051150E+04,1.407776E+00,2.009668E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.407895E+01,2.400000E+01,4.236250E+01,3.111098E+03,2.353715E+03,1.694945E-01,2.306115E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465866E+01,2.400000E+01,4.236309E+01
00:30:00,3.260207E+04,3.113523E+04,1.776213E+00,3.050556E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503405E+01,2.400000E+01,4.236354E+01,6.134718E+03,2.952926E+03,3.342107E-01,2.893208E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199902E+01,4.049324E+01,2.400000E+01,4.237949E+01,3.487117E+04,2.639948E+04,1.899707E+00,2.586558E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199876E+01,4.400520E+01,2.400000E+01,4.236225E+01,3.692519E+03,4.308325E+03,2.011701E-01,4.221195E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199963E+01,4.401879E+01,2.400000E+01,4.236282E+01,2.584379E+04,2.016952E+04,1.407957E+00,1.976161E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.407947E+01,2.400000E+01,4.236245E+01,3.108428E+03,2.325783E+03,1.693490E-01,2.278747E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465873E+01,2.400000E+01,4.236307E+01
00:40:00,3.260708E+04,3.068354E+04,1.776487E+00,3.006300E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503405E+01,2.400000E+01,4.236354E+01,6.131040E+03,2.936535E+03,3.340106E-01,2.877148E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199903E+01,4.053787E+01,2.400000E+01,4.237731E+01,3.486438E+04,2.602733E+04,1.899337E+00,2.550096E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199876E+01,4.400537E+01,2.400000E+01,4.236220E+01,3.690886E+03,4.256188E+03,2.010813E-01,4.170113E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199963E+01,4.402651E+01,2.400000E+01,4.236279E+01,2.584706E+04,1.983524E+04,1.408135E+00,1.943410E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.407989E+01,2.400000E+01,4.236240E+01,3.105772E+03,2.298232E+03,1.692043E-01,2.251754E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465879E+01,2.400000E+01,4.236305E+01
00:50:00,3.261205E+04,3.023982E+04,1.776757E+00,2.962826E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503405E+01,2.400000E+01,4.236354E+01,6.127404E+03,2.919887E+03,3.338127E-01,2.860837E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199904E+01,4.057816E+01,2.400000E+01,4.237532E+01,3.485765E+04,2.566168E+04,1.898971E+00,2.514270E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199876E+01,4.400555E+01,2.400000E+01,4.236215E+01,3.689273E+03,4.204874E+03,2.009934E-01,4.119836E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199963E+01,4.403291E+01,2.400000E+01,4.236277E+01,2.585030E+04,1.950835E+04,1.408312E+00,1.911382E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.408021E+01,2.400000E+01,4.236236E+01,3.103129E+03,2.271062E+03,1.690603E-01,2.225132E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465886E+01,2.400000E+01,4.236303E+01
01:00:00,3.261698E+04,2.980387E+04,1.777026E+00,2.920113E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503405E+01,2.400000E+01,4.236354E+01,6.123811E+03,2.902992E+03,3.336171E-01,2.844284E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199904E+01,4.061447E+01,2.400000E+01,4.237349E+01,3.485099E+04,2.530201E+04,1.898607E+00,2.479031E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199876E+01,4.400573E+01,2.400000E+01,4.236209E+01,3.687679E+03,4.154357E+03,2.009066E-01,4.070341E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199963E+01,4.403822E+01,2.400000E+01,4.236274E+01,2.585351E+04,1.918856E+04,1.408486E+00,1.880049E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.408045E+01,2.400000E+01,4.236231E+01,3.100500E+03,2.244271E+03,1.689171E-01,2.198883E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465892E+01,2.400000E+01,4.236302E+01
01:10:00,3.262540E+04,2.938550E+04,1.777485E+00,2.879122E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503405E+01,2.400000E+01,4.236354E+01,6.127951E+03,2.891302E+03,3.338428E-01,2.832830E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199905E+01,4.064725E+01,2.400000E+01,4.237182E+01,3.485725E+04,2.495443E+04,1.898948E+00,2.444976E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199876E+01,4.400590E+01,2.400000E+01,4.236204E+01,3.687961E+03,4.105338E+03,2.009220E-01,4.022313E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199964E+01,4.404262E+01,2.400000E+01,4.236271E+01,2.585744E+04,1.888090E+04,1.408701E+00,1.849906E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.408065E+01,2.400000E+01,4.236226E+01,3.101032E+03,2.217992E+03,1.689461E-01,2.173136E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465898E+01,2.400000E+01,4.236300E+01
01:20:00,3.263370E+04,2.897571E+04,1.777937E+00,2.838971E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503405E+01,2.400000E+01,4.236354E+01,6.132048E+03,2.879631E+03,3.340662E-01,2.821395E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199906E+01,4.067685E+01,2.400000E+01,4.237028E+01,3.486345E+04,2.461347E+04,1.899287E+00,2.411569E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199876E+01,4.400608E+01,2.400000E+01,4.236200E+01,3.688247E+03,4.057223E+03,2.009376E-01,3.975171E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199964E+01,4.404627E+01,2.400000E+01,4.236268E+01,2.586131E+04,1.858100E+04,1.408911E+00,1.820522E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.408083E+01,2.400000E+01,4.236221E+01,3.101557E+03,2.192179E+03,1.689747E-01,2.147845E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465905E+01,2.400000E+01,4.236298E+01
01:30:00,3.264188E+04,2.857439E+04,1.778382E+00,2.799651E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503405E+01,2.400000E+01,4.236354E+01,6.136115E+03,2.867992E+03,3.342879E-01,2.809991E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199906E+01,4.070361E+01,2.400000E+01,4.236887E+01,3.486960E+04,2.427898E+04,1.899622E+00,2.378797E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199876E+01,4.400625E+01,2.400000E+01,4.236195E+01,3.688537E+03,4.010000E+03,2.009534E-01,3.928903E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199964E+01,4.404930E+01,2.400000E+01,4.236265E+01,2.586511E+04,1.828873E+04,1.409119E+00,1.791887E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.408098E+01,2.400000E+01,4.236217E+01,3.102075E+03,2.166836E+03,1.690029E-01,2.123014E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465911E+01,2.400000E+01,4.236297E+01
01:40:00,3.264995E+04,2.818143E+04,1.778822E+00,2.761150E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503405E+01,2.400000E+01,4.236354E+01,6.140148E+03,2.856396E+03,3.345077E-01,2.798630E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199907E+01,4.072783E+01,2.400000E+01,4.236758E+01,3.487570E+04,2.395120E+04,1.899954E+00,2.346681E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199876E+01,4.400642E+01,2.400000E+01,4.236191E+01,3.688831E+03,3.963657E+03,2.009695E-01,3.883497E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199964E+01,4.405182E+01,2.400000E+01,4.236263E+01,2.586886E+04,1.800401E+04,1.409323E+00,1.763991E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.408113E+01,2.400000E+01,4.236212E+01,3.102587E+03,2.141967E+03,1.690308E-01,2.098649E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465917E+01,2.400000E+01,4.236295E+01
01:50:00,3.265790E+04,2.779674E+04,1.779255E+00,2.723459E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503406E+01,2.400000E+01,4.236354E+01,6.144149E+03,2.844855E+03,3.347258E-01,2.787322E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199907E+01,4.074976E+01,2.400000E+01,4.236639E+01,3.488175E+04,2.363022E+04,1.900284E+00,2.315233E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199876E+01,4.400659E+01,2.400000E+01,4.236187E+01,3.689130E+03,3.918181E+03,2.009858E-01,3.838941E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199964E+01,4.405392E+01,2.400000E+01,4.236260E+01,2.587255E+04,1.772663E+04,1.409524E+00,1.736813E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.408128E+01,2.400000E+01,4.236208E+01,3.103092E+03,2.117578E+03,1.690583E-01,2.074753E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465923E+01,2.400000E+01,4.236294E+01
02:00:00,3.266575E+04,2.742026E+04,1.779683E+00,2.686572E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503406E+01,2.400000E+01,4.236354E+01,6.148118E+03,2.833381E+03,3.349421E-01,2.776080E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199908E+01,4.076964E+01,2.400000E+01,4.236530E+01,3.488776E+04,2.331612E+04,1.900611E+00,2.284458E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199876E+01,4.400676E+01,2.400000E+01,4.236182E+01,3.689434E+03,3.873563E+03,2.010024E-01,3.795225E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199964E+01,4.405567E+01,2.400000E+01,4.236257E+01,2.587618E+04,1.745638E+04,1.409722E+00,1.710335E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.408141E+01,2.400000E+01,4.236204E+01,3.103591E+03,2.093678E+03,1.690855E-01,2.051336E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465929E+01,2.400000E+01,4.236292E+01
02:10:00,3.267350E+04,2.705058E+04,1.780105E+00,2.650352E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199999E+01,4.503406E+01,2.400000E+01,4.236354E+01,6.152056E+03,2.821743E+03,3.351568E-01,2.764678E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199908E+01,4.078769E+01,2.400000E+01,4.236429E+01,3.489372E+04,2.300761E+04,1.900936E+00,2.254230E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199876E+01,4.400693E+01,2.400000E+01,4.236177E+01,3.689743E+03,3.829635E+03,2.010192E-01,3.752186E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199964E+01,4.405713E+01,2.400000E+01,4.236255E+01,2.587976E+04,1.719193E+04,1.409917E+00,1.684425E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199930E+01,4.408155E+01,2.400000E+01,4.236199E+01,3.104084E+03,2.070171E+03,1.691124E-01,2.028305E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.199966E+01,4.465935E+01,2.400000E+01,4.236291E+01
